feature_set,category,test_samples,top1
pattern,dress_sleeveless_2550,383,1.0
pattern,jacket_2200,330,1.0
pattern,jacket_hood_2700,405,1.0
pattern,jumpsuit_sleeveless_2000,300,1.0
pattern,pants_straight_sides_1000,150,1.0
pattern,skirt_2_panels_1200,180,1.0
pattern,skirt_4_panels_1600,240,1.0
pattern,skirt_8_panels_1000,150,1.0
pattern,tee_2300,345,1.0
pattern,tee_sleeveless_1800,270,1.0
pattern,wb_dress_sleeveless_2600,390,1.0
pattern,wb_pants_straight_1500,225,1.0
mesh,dress_sleeveless_2550,383,0.9347258485639687
mesh,jacket_2200,330,0.5
mesh,jacket_hood_2700,405,0.5111111111111111
mesh,jumpsuit_sleeveless_2000,300,0.9366666666666666
mesh,pants_straight_sides_1000,150,1.0
mesh,skirt_2_panels_1200,180,0.8666666666666667
mesh,skirt_4_panels_1600,240,0.8708333333333333
mesh,skirt_8_panels_1000,150,0.8
mesh,tee_2300,345,0.5884057971014492
mesh,tee_sleeveless_1800,270,0.5962962962962963
mesh,wb_dress_sleeveless_2600,390,0.9512820512820512
mesh,wb_pants_straight_1500,225,0.9911111111111112
segmentation,dress_sleeveless_2550,383,0.793733681462141
segmentation,jacket_2200,330,1.0
segmentation,jacket_hood_2700,405,0.9827160493827161
segmentation,jumpsuit_sleeveless_2000,300,1.0
segmentation,pants_straight_sides_1000,150,1.0
segmentation,skirt_2_panels_1200,180,0.7944444444444444
segmentation,skirt_4_panels_1600,240,0.6916666666666667
segmentation,skirt_8_panels_1000,150,0.9333333333333333
segmentation,tee_2300,345,0.8434782608695652
segmentation,tee_sleeveless_1800,270,0.8037037037037037
segmentation,wb_dress_sleeveless_2600,390,0.823076923076923
segmentation,wb_pants_straight_1500,225,0.9244444444444444
combined,dress_sleeveless_2550,383,1.0
combined,jacket_2200,330,1.0
combined,jacket_hood_2700,405,1.0
combined,jumpsuit_sleeveless_2000,300,1.0
combined,pants_straight_sides_1000,150,1.0
combined,skirt_2_panels_1200,180,1.0
combined,skirt_4_panels_1600,240,1.0
combined,skirt_8_panels_1000,150,1.0
combined,tee_2300,345,0.9971014492753624
combined,tee_sleeveless_1800,270,1.0
combined,wb_dress_sleeveless_2600,390,1.0
combined,wb_pants_straight_1500,225,1.0
